type,n,time
star,1100,0.0009771
star,1100,0.0008589
star,1100,0.0008596
star,1100,0.0008393
star,1100,0.0008855
star,1100,0.00085
star,1100,0.0008235
star,1100,0.0009054
star,1100,0.000874
star,1600,0.0014687
star,1600,0.0015251
star,1600,0.0016501
star,1600,0.0014968
star,1600,0.0015443
star,1600,0.0015229
star,1600,0.0014673
star,1600,0.0015307
star,1600,0.0015534
star,1600,0.0014844
star,2100,0.0034274
star,2100,0.0048255
star,2100,0.0031418
star,2100,0.0035082
star,2100,0.0033783
star,2100,0.0032254
star,2100,0.0026713
star,2100,0.0032622
star,2100,0.0026724
star,2100,0.0028306
star,2600,0.004861
star,2600,0.0048213
star,2600,0.0050039
star,2600,0.0045016
star,2600,0.0050334
star,2600,0.0054364
star,2600,0.0052305
star,2600,0.0052546
star,2600,0.0048756
star,2600,0.0043966
star,3100,0.0057871
star,3100,0.0063313
star,3100,0.0062705
star,3100,0.0059424
star,3100,0.00615
star,3100,0.0053149
star,3100,0.0059462
star,3100,0.0059906
star,3100,0.0058822
star,3100,0.0063779
star,3600,0.0075367
star,3600,0.0075967
star,3600,0.0076378
star,3600,0.0077639
star,3600,0.007621
star,3600,0.0075361
star,3600,0.0073166
star,3600,0.0075769
star,3600,0.0075302
star,3600,0.0074354
star,4100,0.0104027
star,4100,0.0095319
star,4100,0.0096948
star,4100,0.0099885
star,4100,0.0099919
star,4100,0.0103207
star,4100,0.0106731
star,4100,0.010039
star,4100,0.0111965
star,4100,0.0104967
star,4600,0.0129682
star,4600,0.0125361
star,4600,0.0131256
star,4600,0.0126251
star,4600,0.013169
star,4600,0.0127882
star,4600,0.0124506
star,4600,0.0130308
star,4600,0.0127978
star,4600,0.0124742
star,5100,0.014981
star,5100,0.0154767
star,5100,0.0150303
star,5100,0.0147679
star,5100,0.0163823
star,5100,0.0148248
star,5100,0.0150532
star,5100,0.0149947
star,5100,0.0150889
star,5100,0.0149149
star,5600,0.0168286
star,5600,0.0168477
star,5600,0.0167307
star,5600,0.0166562
star,5600,0.0166653
star,5600,0.0171528
star,5600,0.0168471
star,5600,0.0167885
star,5600,0.0167026
star,5600,0.0164535
star,6100,0.0209513
star,6100,0.0208288
star,6100,0.0211568
star,6100,0.0201631
star,6100,0.0202526
star,6100,0.0215589
star,6100,0.0211412
star,6100,0.0208862
star,6100,0.0204236
star,6100,0.0208346
star,6600,0.024146
star,6600,0.0241028
star,6600,0.0266733
star,6600,0.0237629
star,6600,0.0240512
star,6600,0.0235283
star,6600,0.0236085
star,6600,0.0237147
star,6600,0.0239603
star,6600,0.0242111
star,7100,0.0274709
star,7100,0.0274484
star,7100,0.02779
star,7100,0.0284656
star,7100,0.0280754
star,7100,0.0267406
star,7100,0.027523
star,7100,0.0267618
star,7100,0.0270266
star,7100,0.0274538
star,7600,0.0299812
star,7600,0.0295931
star,7600,0.0309733
star,7600,0.0310731
star,7600,0.0297912
star,7600,0.0331243
star,7600,0.0289538
star,7600,0.0299901
star,7600,0.0325451
star,7600,0.0291393
star,8100,0.0370248
star,8100,0.036702
star,8100,0.0349925
star,8100,0.0354119
star,8100,0.034496
star,8100,0.0352131
star,8100,0.0347106
star,8100,0.0350008
star,8100,0.0344137
star,8100,0.0349216
star,8600,0.0415701
star,8600,0.0425321
star,8600,0.0418674
star,8600,0.0415263
star,8600,0.0440707
star,8600,0.0414379
star,8600,0.0413869
star,8600,0.042692
star,8600,0.0414957
star,8600,0.0411011
star,9100,0.061127
star,9100,0.047085
star,9100,0.0474092
star,9100,0.0473044
star,9100,0.0497681
star,9100,0.0472313
star,9100,0.0483706
star,9100,0.0488873
star,9100,0.0476212
star,9100,0.0479377
star,9600,0.0523467
star,9600,0.051693
star,9600,0.0519677
star,9600,0.0520711
star,9600,0.0520586
star,9600,0.0517556
star,9600,0.0515629
star,9600,0.0540708
star,9600,0.0518056
star,9600,0.0537715
